content,content_clean
Kok punya saya bahas Inggris ya..tolong perbaiki mas/mbak,Kok punya saya bahas Inggris yatolong perbaiki masmbak
Bagus semangat ya mengembangkan aplikasi nya semoga semakin baik baik dan kaya 😆😆😆,Bagus semangat ya mengembangkan aplikasi nya semoga semakin baik baik dan kaya
Mantap,Mantap
"Penyimpanan opsional terlalu dikit, semoga kedepannya bisa di tingkatkan lagi,untuk UI tampilan sudah bagus dan mudah di pahami,tapi masih ada problem error² ketika membuka aplikasi ini , Semoga kedepannya penyimpanan dan masalah error' di fix Terimakasih",Penyimpanan opsional terlalu dikit semoga kedepannya bisa di tingkatkan lagiuntuk UI tampilan sudah bagus dan mudah di pahamitapi masih ada problem error² ketika membuka aplikasi ini  Semoga kedepannya penyimpanan dan masalah error di fix Terimakasih
Agak ribet aplikasi nya buat agar lebih mudah dan tampilan nya juga di rapihin lagi okeh 😂😄😃😀☺️👍,Agak ribet aplikasi nya buat agar lebih mudah dan tampilan nya juga di rapihin lagi okeh ☺️
Bagus dan terus tingkatkan agar lebih baik,Bagus dan terus tingkatkan agar lebih baik
Good,Good
855y km,y km
Ok,Ok
Kok Edlink gak bisa scroll kebawah mau liat nilai dan dan lain2nya🤔,Kok Edlink gak bisa scroll kebawah mau liat nilai dan dan lainnya🤔
Good,Good
Ed link,Ed link
Ga bisa ganti Poto profil,Ga bisa ganti Poto profil
Kenapa saya tidak bisa buka ediling web maupun edling aplikasi koneksi saya aja stapil di situ keretangan nya mohon priksa koneksi ada kurang stabil,Kenapa saya tidak bisa buka ediling web maupun edling aplikasi koneksi saya aja stapil di situ keretangan nya mohon priksa koneksi ada kurang stabil
Min kenapa ini apknya ngelag2 ya ?,Min kenapa ini apknya ngelag ya
Kok ga bisa masuk. Stuck di logo doang,Kok ga bisa masuk Stuck di logo doang
sangat baik,sangat baik
Mantap,Mantap
"Mohon kpda Edlink, Tolong saya Di Tanggapi, Kenapa saya tidak bisa ganti nama user (profil) setelah saya simpan tidak bisa diterapkan malah muncul notifikasi ( vaildation.digits.beteen ) ad solusinya atau gimana?",Mohon kpda Edlink Tolong saya Di Tanggapi Kenapa saya tidak bisa ganti nama user profil setelah saya simpan tidak bisa diterapkan malah muncul notifikasi  vaildationdigitsbeteen  ad solusinya atau gimana
pengen tau,pengen tau
Knp akun edlink saya menggunakan akun siakad tidak bisa masuk,Knp akun edlink saya menggunakan akun siakad tidak bisa masuk
Sangat membantu apk in,Sangat membantu apk in
"Kalau absen scan code qr nya harus pakai 2 hape, dan harus scan saat itu juga kalo lewat 2 menit aja udah ga bisa absen. Jujur cukup sulit buat pake apk ini, but tetep mau Belajar soalnya kuliah wajib pake apk ini buat akses. Hape ga spek jadi susahh 😢",Kalau absen scan code qr nya harus pakai  hape dan harus scan saat itu juga kalo lewat  menit aja udah ga bisa absen Jujur cukup sulit buat pake apk ini but tetep mau Belajar soalnya kuliah wajib pake apk ini buat akses Hape ga spek jadi susahh
"Kenapaa gk bisa di download apk nya ya,,",Kenapaa gk bisa di download apk nya ya
"Min , tutorial hapus akun edlink bagaimana ya ? Soalnya saya sudah ada akun tetap & ingin mentautkan akun ini . Tolong di jawab min trims",Min  tutorial hapus akun edlink bagaimana ya  Soalnya saya sudah ada akun tetap  ingin mentautkan akun ini  Tolong di jawab min trims
"Gak bisa absen qr sementara teman"" yang lainnya bisa.",Gak bisa absen qr sementara teman yang lainnya bisa
Lumyan,Lumyan
"Apa edlink menggunakan firebase? Jika tidak, database apa yang digunakan edlink? Bintang 5 setelah ada jawaban pasti.",Apa edlink menggunakan firebase Jika tidak database apa yang digunakan edlink Bintang  setelah ada jawaban pasti
Good,Good
"Ini aplikasi nya gk sinkron sama yang di web,tolong dibenerin lagi",Ini aplikasi nya gk sinkron sama yang di webtolong dibenerin lagi
"Kenapa sekarang susah untuk masuk ke edlink Saya sudah beberapa kali mencoba tetap tidak bisa masuk , sudah kasih masuk no. Hp tetap tidak bisa masuk",Kenapa sekarang susah untuk masuk ke edlink Saya sudah beberapa kali mencoba tetap tidak bisa masuk  sudah kasih masuk no Hp tetap tidak bisa masuk
"Maaf aplikasi EdLink menurut saya tidak recomended untuk proses pembelajaran, karena suka error dan finally, dosen kembali menggunakan G.Classroom juga",Maaf aplikasi EdLink menurut saya tidak recomended untuk proses pembelajaran karena suka error dan finally dosen kembali menggunakan GClassroom juga
Bug,Bug
Kenapa kak edlink nya tidak bisa di buka sebenarnya saya sudah mendownloadnya tapi tidak tetap tidak bisa dibuka jadi harus bagaimana lagi gak kak cara membuka edlink ini.,Kenapa kak edlink nya tidak bisa di buka sebenarnya saya sudah mendownloadnya tapi tidak tetap tidak bisa dibuka jadi harus bagaimana lagi gak kak cara membuka edlink ini
Membantu dan memudahkan proses pembelajaran,Membantu dan memudahkan proses pembelajaran
Baru liat ulasan org orang aja dah males buat download 😭 Diperbaiki lagi sistemnya biar enak dipake☺️🙏,Baru liat ulasan org orang aja dah males buat download  Diperbaiki lagi sistemnya biar enak dipake☺️
Bagus,Bagus
GOOOOOOOOOOOOOOOOOOD,GOOOOOOOOOOOOOOOOOOD
"Kenapa ya saya gabisa buka edlink, minta di update eh pas udh di update malah balik lg kya awal gabisa dibuka",Kenapa ya saya gabisa buka edlink minta di update eh pas udh di update malah balik lg kya awal gabisa dibuka
Aplikasinya sangat membantu,Aplikasinya sangat membantu
Terbaik,Terbaik
"Halo, selamat siang,aku mau nanya kenapa ya edlink nya nggak bisa diperbarui ulang🙏☺️",Halo selamat siangaku mau nanya kenapa ya edlink nya nggak bisa diperbarui ulang☺️
"Ngilangin getar nya gmna jir, jantung ga tenang kalo ada notifikasi jadinya, kalo notif notif aja maksudnya bisa ga min",Ngilangin getar nya gmna jir jantung ga tenang kalo ada notifikasi jadinya kalo notif notif aja maksudnya bisa ga min
"kak kenapa yah foto profilnya gak bisa di ubah, gak ada tulisan Save nya gitu. makasih",kak kenapa yah foto profilnya gak bisa di ubah gak ada tulisan Save nya gitu makasih
Knp nda bisa terupdate 😩,Knp nda bisa terupdate
👍,
Kurang mendukung butuh Perbaiki lgai Makasihhhh,Kurang mendukung butuh Perbaiki lgai Makasihhhh
Kenapa Apk ga bisa di download kk,Kenapa Apk ga bisa di download kk
"Kenapa ya tidak ada tugasnya padahal guru sudah kirim tugas? Notif tugas dri kelas nya ada tapi pas dibuka tidak bisa, blank halaman kosong saja. Sudah uninstall trus login lagi tetap gaada, gimana ya?",Kenapa ya tidak ada tugasnya padahal guru sudah kirim tugas Notif tugas dri kelas nya ada tapi pas dibuka tidak bisa blank halaman kosong saja Sudah uninstall trus login lagi tetap gaada gimana ya
Minta d perbarui mulu,Minta d perbarui mulu
Mayan nih apk,Mayan nih apk
"Terlalu sering eror, gangguan, sama terlalu sering harus di apdet",Terlalu sering eror gangguan sama terlalu sering harus di apdet
Aplikasinya mudah dipakai dan dipahami tidak ribet,Aplikasinya mudah dipakai dan dipahami tidak ribet
Oke,Oke
"Aplikasi ini cocok baget untuk kuliah online terus aplikasinya juga garibet makenya, intinya bagus :)",Aplikasi ini cocok baget untuk kuliah online terus aplikasinya juga garibet makenya intinya bagus
Mantap,Mantap
"💪💪💪💪 Bang minta solusinya, ko saya mau update tapi tdak jadi",Bang minta solusinya ko saya mau update tapi tdak jadi
Perfect,Perfect
Bagus,Bagus
Good,Good
Mau update tapi kok gagal terus?,Mau update tapi kok gagal terus
Oke.mantapp,Okemantapp
Sangat cocok,Sangat cocok
baik,baik
Luar biasa,Luar biasa
Ini gimana edlinknya kok bisa instal ya Padahal semua aplikasi ku udah kehapus semua,Ini gimana edlinknya kok bisa instal ya Padahal semua aplikasi ku udah kehapus semua
Ntap,Ntap
Membantu pembelajaran saat pandemi,Membantu pembelajaran saat pandemi
"Kak sya mau bertanya, bagaimana si cara nya menghapus file"" yg sdah dikumpulkan, krna penyimpanan edlink sya sudah full, sehingga tidak bisa mengumpulkan tugas lagi kak. Mohon solusinya kak. Mohon responya kk",Kak sya mau bertanya bagaimana si cara nya menghapus file yg sdah dikumpulkan krna penyimpanan edlink sya sudah full sehingga tidak bisa mengumpulkan tugas lagi kak Mohon solusinya kak Mohon responya kk
Edlink oke,Edlink oke
Ok,Ok
Sukses,Sukses
"Jelek, masa bolak balik harus di update.",Jelek masa bolak balik harus di update
"Mau tanya admin, knpa lama skli ini terupdate dari kemaring sampai sekarang blum bisa masuk padahal jaringan disini sudah sgt baik.... Mohon penjelasan / Bantuan Admin dari sy berhubung saya gunakan Aplikasi ini dlm belajar online 🙏🙏🙏",Mau tanya admin knpa lama skli ini terupdate dari kemaring sampai sekarang blum bisa masuk padahal jaringan disini sudah sgt baik Mohon penjelasan  Bantuan Admin dari sy berhubung saya gunakan Aplikasi ini dlm belajar online
Ok,Ok
"Sebelumnya maaf, Kenapa edling udha di ubdate tapi tidak ada notifikasi, malahan edlinya lebih memburuk dari sebelumnya.. 🙏🙏🙏🙏",Sebelumnya maaf Kenapa edling udha di ubdate tapi tidak ada notifikasi malahan edlinya lebih memburuk dari sebelumnya
Sangat bagus,Sangat bagus
Maaf ka udah aku update tapi terus terusan harus di update,Maaf ka udah aku update tapi terus terusan harus di update
Mengapa edlink sevima ini gak bisa di download di Android ya ? Gimana caranya biar bisa di download ?,Mengapa edlink sevima ini gak bisa di download di Android ya  Gimana caranya biar bisa di download
👍,
Mantap,Mantap
"Kenapa saya download lagi gak bisa,, tolong donk kak soalnya msih buat kuliah",Kenapa saya download lagi gak bisa tolong donk kak soalnya msih buat kuliah
"Setelah update malah memburuk, gk ada notifikasi masuk ke hp sama sekali. Tolong perbaiki",Setelah update malah memburuk gk ada notifikasi masuk ke hp sama sekali Tolong perbaiki
Sangat membantu dan baik sekali,Sangat membantu dan baik sekali
"Izin download file tidak bisa, peeizinan tidak bisa di rubah",Izin download file tidak bisa peeizinan tidak bisa di rubah
Kak saya ada masalah diaplikasi edlink susa untuk mengirim file dan file yg ada diedlink susa sihapus itu gimna ya kak,Kak saya ada masalah diaplikasi edlink susa untuk mengirim file dan file yg ada diedlink susa sihapus itu gimna ya kak
Min kok jadi gini,Min kok jadi gini
ERROR TEROSSSSSS,ERROR TEROSSSSSS
"Ka saya mau kirim file dokumen , tapi dokumennya gk bsa di ketemukan itu kenapa ya ? Padahal di dokumen whatsap dokumen lainya udh tersimpan ...",Ka saya mau kirim file dokumen  tapi dokumennya gk bsa di ketemukan itu kenapa ya  Padahal di dokumen whatsap dokumen lainya udh tersimpan
Mohon maaf KK kenapa saya tidak bisa meng apded edlink apakah jaringan atau sistem TDK baik mohon bantuannya 🙏🙏🙏,Mohon maaf KK kenapa saya tidak bisa meng apded edlink apakah jaringan atau sistem TDK baik mohon bantuannya
top,top
"Hi admin. Mohon perbaikan, setelah upgrade edlink nggak ada pop-up. Jadi sering ketinggalan notifikasi.",Hi admin Mohon perbaikan setelah upgrade edlink nggak ada popup Jadi sering ketinggalan notifikasi
Mantap,Mantap
"Mohon maaf kepada admin. Kenapa edlinknya error sedari tadi, apa sedang dalam perbaikan untuk update? Tapi, di mohon sebelum jam 8 sudah tidak error lagi, jawaban-jawaban luar biasa untuk dosen dari saya menunggu di sampaikan untuk di baca. Terima kasih",Mohon maaf kepada admin Kenapa edlinknya error sedari tadi apa sedang dalam perbaikan untuk update Tapi di mohon sebelum jam  sudah tidak error lagi jawabanjawaban luar biasa untuk dosen dari saya menunggu di sampaikan untuk di baca Terima kasih
"suka error,.. lelet",suka error lelet
Mohon perbaikan ny nilai saya ambruk. Karena soal2 yg muncul ke edlink. Sama semua ggk ada bedahnya. Setelah konfirmasi Jawab. Baru kembali membaik pertanyaannya. PHP 😭,Mohon perbaikan ny nilai saya ambruk Karena soal yg muncul ke edlink Sama semua ggk ada bedahnya Setelah konfirmasi Jawab Baru kembali membaik pertanyaannya PHP
"Daring mulu pinter kaga gobl*k iya, Bayaran mulu sekolah kaga",Daring mulu pinter kaga goblk iya Bayaran mulu sekolah kaga
Bagus,Bagus
"K ada tugas di edlink, terus gurunya minta jawabannya dikirim tapi hanya link nya aja, jdi gimana cara ngirim link nya ? Harus ufload filenya dlu atau gmna, soalnya dari tadi biar dapet link nya gk tau dmna, please jawab, malam ini terakhir",K ada tugas di edlink terus gurunya minta jawabannya dikirim tapi hanya link nya aja jdi gimana cara ngirim link nya  Harus ufload filenya dlu atau gmna soalnya dari tadi biar dapet link nya gk tau dmna please jawab malam ini terakhir
Gak bisa di bukak,Gak bisa di bukak
Gabisa di update Makin lama makin parah aja edlink ni,Gabisa di update Makin lama makin parah aja edlink ni
"To kenp beberapa hari ini saya g bisa buka edlink,akhirnya saya ketinggalan dgn peljaran dan tugas kuliah.terimakasih",To kenp beberapa hari ini saya g bisa buka edlinkakhirnya saya ketinggalan dgn peljaran dan tugas kuliahterimakasih
Eror Mulu,Eror Mulu
Mantap,Mantap
Jelek,Jelek
Membosankan menunggu loading jelek sekarang,Membosankan menunggu loading jelek sekarang
Kenapa diupdate ga bisa?,Kenapa diupdate ga bisa
Saya mohon tolong aktif kan apilikasi ini,Saya mohon tolong aktif kan apilikasi ini
mantap,mantap
Ok,Ok
Cacat,Cacat
Sangat baik untuk mengetahui Info kampus melalui siakad👍,Sangat baik untuk mengetahui Info kampus melalui siakad
Sangat baik yang kurangnya mohon di perbaiki,Sangat baik yang kurangnya mohon di perbaiki
Menjadi platform PJJ terdepan👍😁,Menjadi platform PJJ terdepan
Kalo bisa gausah lah di upgrade2 .eror kali ntahapa pun . Abis aplikasi di hp ku loh semua kuhapus gara2 upgrade . Tolong lah yaa .jadikan sekali aja yang bagus gitu semua lengkap di applikasi ni biar gausah upgrade2 . Capek kali loh .belum lagi pas di buka loading,Kalo bisa gausah lah di upgrade eror kali ntahapa pun  Abis aplikasi di hp ku loh semua kuhapus gara upgrade  Tolong lah yaa jadikan sekali aja yang bagus gitu semua lengkap di applikasi ni biar gausah upgrade  Capek kali loh belum lagi pas di buka loading
Gajeb bgt min masak setiap mau buka diperbaharui terus males bgt liat apk nya klo bukan buat pendidikan udah uninstall dari dulu,Gajeb bgt min masak setiap mau buka diperbaharui terus males bgt liat apk nya klo bukan buat pendidikan udah uninstall dari dulu
Semakin kurang baik dan Eror terus kadang bisa kadang enggak.pas dadline mepet eh EROR.,Semakin kurang baik dan Eror terus kadang bisa kadang enggakpas dadline mepet eh EROR
Good,Good
good and excellence,good and excellence
Kok lola ya tidak bisa di buka,Kok lola ya tidak bisa di buka
Sangat membantu,Sangat membantu
Eror terusdd,Eror terusdd
Menarik,Menarik
Gabisa di instal,Gabisa di instal
Aplikasi nya jelek 🤧 susah masuk pdhal jaringan baguss 🤦,Aplikasi nya jelek 🤧 susah masuk pdhal jaringan baguss 🤦
Setelah update jadi eror,Setelah update jadi eror
"Belajar online denagn mudah. Namun kadang aplikasi edlink ada kendala, susah masuk ke aplikasi edlink",Belajar online denagn mudah Namun kadang aplikasi edlink ada kendala susah masuk ke aplikasi edlink
Mantap,Mantap
"Pembaruan terus ,tapi eror tetep",Pembaruan terus tapi eror tetep
"Apk nya sering bnget eror, dikit2 install lagi.. update lagi..🤦🏻‍♀️",Apk nya sering bnget eror dikit install lagi update lagi🤦‍♀️
Sangat membantu sekalii,Sangat membantu sekalii
Eror trossssss ngak guna!!!,Eror trossssss ngak guna
Sungguh membantu,Sungguh membantu
Mantap,Mantap
"Baru juga di update udah harus di updet lagi aja,",Baru juga di update udah harus di updet lagi aja
Selalu Di Upgrate trus Jadi Gx Bisa msuk,Selalu Di Upgrate trus Jadi Gx Bisa msuk
Tolong dong ko ngk bisa terbuka,Tolong dong ko ngk bisa terbuka
Jelek,Jelek
Bagus,Bagus
"update yg saat ini banyak gangguan,' semoga bisa cepat di perbaharui kmbali,,agar bisa lebih baik untuk di gunakan,",update yg saat ini banyak gangguan semoga bisa cepat di perbaharui kmbaliagar bisa lebih baik untuk di gunakan
ok,ok
Gooooodddd😘👍,Gooooodddd
Lain kali permudah sistem donwload untuk android sama. Bisa ngecek siapa yg udah ngumpulin via Android,Lain kali permudah sistem donwload untuk android sama Bisa ngecek siapa yg udah ngumpulin via Android
Aplicasi bagus utk pembelajaran,Aplicasi bagus utk pembelajaran
"Aplikasi taik , sering tidak bisa di buka aplikasi ga guna 🙄",Aplikasi taik  sering tidak bisa di buka aplikasi ga guna
Sekedar saran Jagan selalu update aplikasi yaa min karna ramx hp sudah penuh hehee,Sekedar saran Jagan selalu update aplikasi yaa min karna ramx hp sudah penuh hehee
Sangat membantu saya,Sangat membantu saya
Oke,Oke
"Sangat membantu. Kalau boleh saran, buatkan tampilan agar bisa menjawab komentar orang lain. Dan orang tersebut mendapat notifikasinya (Seperti Facebook). Terima kasih",Sangat membantu Kalau boleh saran buatkan tampilan agar bisa menjawab komentar orang lain Dan orang tersebut mendapat notifikasinya Seperti Facebook Terima kasih
Kadang susah masuknya . Perbaiki lebih baik lagi,Kadang susah masuknya  Perbaiki lebih baik lagi
"Edlinknya suka eror, di buka pasti keluar sendiri, masih enak edlink yang versi lama",Edlinknya suka eror di buka pasti keluar sendiri masih enak edlink yang versi lama
Bagus,Bagus
"Min kok makin lama edlink ini kok makin gak bagus ya, notifikasi pemberitahuan tidak pernah muncul, jari sampai sampai saya tertinggal kuliah. Mohon di perbaiki lagi ya",Min kok makin lama edlink ini kok makin gak bagus ya notifikasi pemberitahuan tidak pernah muncul jari sampai sampai saya tertinggal kuliah Mohon di perbaiki lagi ya
Sangat puas,Sangat puas
Tanks verymuch. Is the best,Tanks verymuch Is the best
Bagus aplikasinya,Bagus aplikasinya
Ok,Ok
Bagus,Bagus
Sering up date,Sering up date
Semakin ditingkat kn lagi.,Semakin ditingkat kn lagi
good lah,good lah
Keren,Keren
Ok,Ok
"Suka error gabisa dibuka, loading mulu gabisa masuk jadinya saya suka tidak ikut kelas dan susah mengumpulkan tugas yg dikumpulkan di edlink. Sekarang sudah tidak ada notifikasi. Mohon diperbaiki segera, terimaksih",Suka error gabisa dibuka loading mulu gabisa masuk jadinya saya suka tidak ikut kelas dan susah mengumpulkan tugas yg dikumpulkan di edlink Sekarang sudah tidak ada notifikasi Mohon diperbaiki segera terimaksih
Bagus,Bagus
"seringgg bermasalah, kepaksa pake krn kampus",seringgg bermasalah kepaksa pake krn kampus
Sangat baik,Sangat baik
Bagus cuman agak lama menunggu,Bagus cuman agak lama menunggu
"Gara² aplikasi ini tidur saya tidak nyenyak, makan tidak enak, pikiran saya jadi pusing. Makasih lah buat yang udh buat aplikasi ini.",Gara² aplikasi ini tidur saya tidak nyenyak makan tidak enak pikiran saya jadi pusing Makasih lah buat yang udh buat aplikasi ini
Terbaik,Terbaik
Sngat bagus,Sngat bagus
Edlink sangat membantu saya dalam proses belajar Dan juga banyak menginformasikan ilmu lewat hal -hal pendidikan yang dibagikan diedlink.,Edlink sangat membantu saya dalam proses belajar Dan juga banyak menginformasikan ilmu lewat hal hal pendidikan yang dibagikan diedlink
Tidak membuat mahasiswa lebih pintar,Tidak membuat mahasiswa lebih pintar
Bagus banget,Bagus banget
Good,Good
Video materi tidak bisa di lihat...bagaimana ini admin..?,Video materi tidak bisa di lihatbagaimana ini admin
"Bagus sekali apknya ,cuma kadang suka eror tetapi harus di perbaharui lagi baru bagus lagi",Bagus sekali apknya cuma kadang suka eror tetapi harus di perbaharui lagi baru bagus lagi
Semoga mnjadi lebih baik lagi versinya,Semoga mnjadi lebih baik lagi versinya
Edlink memang pualing topcer. 🤭👍,Edlink memang pualing topcer 🤭
Ok,Ok
Bagus,Bagus
Bagus,Bagus
Edlink baru minta update kok rada2 error' gak mau kebuka beranda nya..🤦,Edlink baru minta update kok rada error gak mau kebuka beranda nya🤦
Kuliah jadil lebih mudah.,Kuliah jadil lebih mudah
Good,Good
bgus,bgus
Ada notif minta update. Klik lah update. Ga bs2. Akhirnya uninstal. Coba download lg. Eror ga bs dondload2. Sinyak bagus tpi ga bs download jg. Sinyal muter2 dr smlm. Udah coba direstrt hp ny ttp ga bs. Super bad jelek sejeelek2nya !!!!!!,Ada notif minta update Klik lah update Ga bs Akhirnya uninstal Coba download lg Eror ga bs dondload Sinyak bagus tpi ga bs download jg Sinyal muter dr smlm Udah coba direstrt hp ny ttp ga bs Super bad jelek sejeeleknya
Aplikasi ini sangat bermanfaat dan membantu saya dalam proses kuliah. Love edlink,Aplikasi ini sangat bermanfaat dan membantu saya dalam proses kuliah Love edlink
Good 100,Good
Aman,Aman
Kerennn,Kerennn
Sangat bagus 🙏,Sangat bagus
Bagi sekqli,Bagi sekqli
Sangat membantu dalam proses perkuliahan,Sangat membantu dalam proses perkuliahan
Ini kenapa gak bisa buka tugas sama kolom komentar. Aku instal ulang juga lama progresnya. Kirain kuota ku tapi buka YouTube lancar lancar aja tolong dong ini urgent mau kuisss ni😭😭😭😭,Ini kenapa gak bisa buka tugas sama kolom komentar Aku instal ulang juga lama progresnya Kirain kuota ku tapi buka YouTube lancar lancar aja tolong dong ini urgent mau kuisss ni
"Min tolong buat penyimpanan personalnya kan cuma 100 MB, tambahin kapasitasnya yaa, soalnya kalau upload tugas kadang gk bisaa, karena udah full penyimpanannya, kalau yg udah ke upload di hapus, nanti tugas yg dlunya dikirim malah hilang 😭",Min tolong buat penyimpanan personalnya kan cuma  MB tambahin kapasitasnya yaa soalnya kalau upload tugas kadang gk bisaa karena udah full penyimpanannya kalau yg udah ke upload di hapus nanti tugas yg dlunya dikirim malah hilang
Sangat baik,Sangat baik
Baik.,Baik
Mohon di bantu pinjaman nya,Mohon di bantu pinjaman nya
"User interface ribet, tidak bersahabat dengan pengguna. Dan tidak bisa mengunduh file materi",User interface ribet tidak bersahabat dengan pengguna Dan tidak bisa mengunduh file materi
Bermanfaatnya,Bermanfaatnya
Mantap,Mantap
terdapat kesalahan pada saat saya mau membuka coment pasti loadingnya lama dan setelah itu langsung saja kembali ke layar utama,terdapat kesalahan pada saat saya mau membuka coment pasti loadingnya lama dan setelah itu langsung saja kembali ke layar utama
"Nggak bisa di buka loading terus pada hal internet lancar, mau ngumpulin tugas kuliah nggak bisa, mohon di perbaiki",Nggak bisa di buka loading terus pada hal internet lancar mau ngumpulin tugas kuliah nggak bisa mohon di perbaiki
Baik,Baik
Edlink sangat membantu selama perkuliahan online ..Terima Kasih edlink,Edlink sangat membantu selama perkuliahan online Terima Kasih edlink
Makin hari edlink makin rusak bahkan notifikasi tidak berfungsi sama sekali saya jadi lambat kuliah dan lambat mengumpulkan tugas Dikarenakan Notifikasi yang rusak,Makin hari edlink makin rusak bahkan notifikasi tidak berfungsi sama sekali saya jadi lambat kuliah dan lambat mengumpulkan tugas Dikarenakan Notifikasi yang rusak
Bagus buat belajar sendiri di rumah,Bagus buat belajar sendiri di rumah
Min ko edlik saya kaga mau kebuka ya padahal saya udh updet ko jadi lebih parah,Min ko edlik saya kaga mau kebuka ya padahal saya udh updet ko jadi lebih parah
Mantap luar biasa....tapi kadang2 susah pas aplod tugas,Mantap luar biasatapi kadang susah pas aplod tugas
Mayan,Mayan
Terimakasih atas pembaruannya Jadi semakin mudah,Terimakasih atas pembaruannya Jadi semakin mudah
Apk eror mohon cepat di perbarui min saya banyak tugas,Apk eror mohon cepat di perbarui min saya banyak tugas
Kenapa wdlink saya gak bisa d buka Cuman gambarnya aja.apa solusi nya,Kenapa wdlink saya gak bisa d buka Cuman gambarnya ajaapa solusi nya
"Dulu saya pernah mendaftarkan Edlink terus sudah lama tidak saya pakek terus ini saya ganti hp saya login ke akun lama saya tidak bisa terus saya daftar ulang tulisannya sudah terdaftar ini emang gak boleh pakek edlink ya saya, saya juga sudah kirim email juga",Dulu saya pernah mendaftarkan Edlink terus sudah lama tidak saya pakek terus ini saya ganti hp saya login ke akun lama saya tidak bisa terus saya daftar ulang tulisannya sudah terdaftar ini emang gak boleh pakek edlink ya saya saya juga sudah kirim email juga
I like,I like
Kurang puas,Kurang puas
Min kenapa edlik nya error jadi susah buat belajar min gimana ini min,Min kenapa edlik nya error jadi susah buat belajar min gimana ini min
lemot,lemot
Mantap memudahkan kuliah kami bnget,Mantap memudahkan kuliah kami bnget
Tolong mengerti terimakasih atas kunjungan Anda,Tolong mengerti terimakasih atas kunjungan Anda
"Keren bgt, dan permudah mahasiswa utk belajar secara OL.",Keren bgt dan permudah mahasiswa utk belajar secara OL
Ajib banget aplikasi nya;),Ajib banget aplikasi nya
"Memilih metode absensinya error, tidak bisa dipencet pilihannya, mohon developer segera memperbaikinya",Memilih metode absensinya error tidak bisa dipencet pilihannya mohon developer segera memperbaikinya
Bermanfaat sekali,Bermanfaat sekali
Kenapa sih sering disuruh update padahal baru beberapa hari aja?,Kenapa sih sering disuruh update padahal baru beberapa hari aja
"Aplikasinya sering error', padahal sinyal saya bagus tetapi tertulis periksa jaringan anda . Saya mau absen jd susah. Tolong diperbaiki",Aplikasinya sering error padahal sinyal saya bagus tetapi tertulis periksa jaringan anda  Saya mau absen jd susah Tolong diperbaiki
Kenapa selalu error gitu sih?? kuliah terbengkalai kalau begini terus. Mohon tindakan agar kedepannya bisa lebih baik,Kenapa selalu error gitu sih kuliah terbengkalai kalau begini terus Mohon tindakan agar kedepannya bisa lebih baik
Sangat membantu,Sangat membantu
Mantap,Mantap
"Sering Error,trus minta update terus",Sering Errortrus minta update terus
Baguss,Baguss
Sering eror pada mau masuk app nya,Sering eror pada mau masuk app nya
Bagus,Bagus
Payah.. kok edlink skrg gak ada nitif kalau dosen ngasih materi. Patch sebelumnya lancar jaya,Payah kok edlink skrg gak ada nitif kalau dosen ngasih materi Patch sebelumnya lancar jaya
Bagiss,Bagiss
Trimakasih,Trimakasih
👍,
Saya kasih bintang satu karna sering banget di minta update kalu satu bulan 1 kali gak papa tapi ini satu bulan bisa 2 kali😣,Saya kasih bintang satu karna sering banget di minta update kalu satu bulan  kali gak papa tapi ini satu bulan bisa  kali
Very Good,Very Good
👍👍👍,
Good,Good
"Aku sangat menyukai apk ini karena bagus banget buat ngumpulin tugas menerima, dan pemberitahuan dari setiap materi yang akan diberikan oleh dosen😊",Aku sangat menyukai apk ini karena bagus banget buat ngumpulin tugas menerima dan pemberitahuan dari setiap materi yang akan diberikan oleh dosen
Kenapa edlinknya tidak bisa diperbaharui?,Kenapa edlinknya tidak bisa diperbaharui
Aplikasi Makin Buruk Sekarang Gadak Notifikasi Mohon diperbaiki,Aplikasi Makin Buruk Sekarang Gadak Notifikasi Mohon diperbaiki
Aplikasinya bagus...cuman mengapa selalu error ketika saya buka. Padahal aplikasi ini sangat penting bagi saya sebagai pembelajar...tolong diperbaiki lah...,Aplikasinya baguscuman mengapa selalu error ketika saya buka Padahal aplikasi ini sangat penting bagi saya sebagai pembelajartolong diperbaiki lah
Ini bgmna cara pake aplikasi edlinknya biar bisa lihat materi yang di berikan sma dosen.,Ini bgmna cara pake aplikasi edlinknya biar bisa lihat materi yang di berikan sma dosen
Terlalu sering upgrade,Terlalu sering upgrade
Sering di perbarui,Sering di perbarui
Sngat bagus,Sngat bagus
Mntap,Mntap
B aja,B aja
"Kok gk bisa login,",Kok gk bisa login
Gitu aja dulu,Gitu aja dulu
Bagus,Bagus
Update nya ko nga bisa lama benget,Update nya ko nga bisa lama benget
Banyak erornya,Banyak erornya
Apk lemot banget,Apk lemot banget
Good,Good
Baik,Baik
3 dulu aja,dulu aja
Jelek,Jelek
Aplikasi jelek,Aplikasi jelek
Edlink tidak bisa di perbarui bagaimana ini ???,Edlink tidak bisa di perbarui bagaimana ini
bagus,bagus
edlink sering eror min,edlink sering eror min
"Min kenapa si sring eror, minta di perbarui padahal ga ada perbarui di play store, kan jadinya ga bisa dibuka ini solusinya gmna.",Min kenapa si sring eror minta di perbarui padahal ga ada perbarui di play store kan jadinya ga bisa dibuka ini solusinya gmna
Gatau,Gatau
Nice,Nice
